City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
501,Banda Aceh,ID,85.01,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
503,Zaysan,KZ,82.51,scattered clouds,47.4667,84.8667,Ерлан үй
504,Ulaanbaatar,MN,80.73,few clouds,47.9077,106.8832,The Blue Sky Hotel and Tower
506,Itarema,BR,78.1,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
509,Havelock,US,82.35,clear sky,34.8791,-76.9013,Sherwood Motel
512,Yatou,CN,81.75,broken clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
514,Kismayo,SO,75.27,light rain,-0.3582,42.5454,Agan-Hotel
521,Gongzhuling,CN,75.43,overcast clouds,43.5008,124.8198,如家旅馆
522,Ramban,IN,75.61,scattered clouds,33.25,75.25,Naaz Hotel
523,Bima,ID,87.33,broken clouds,-8.4667,118.7167,Lambitu Hotel
530,Wajima,JP,79.48,light intensity shower rain,37.4,136.9,Wajiima Onsen Yashio
532,Tombouctou,ML,89.4,overcast clouds,20.0,-3.0,
533,Gao,ML,81.57,light rain,16.6362,1.637,
546,Magan,ES,82.92,clear sky,39.9683,-3.931,Hotel Pattaya
550,Namatanai,PG,84.31,light rain,-3.6667,152.4333,Seagulls Inn Namatani
553,Tanout,NE,75.78,scattered clouds,14.9709,8.8879,
554,Sorong,ID,82.94,broken clouds,-0.8833,131.25,Waigo Splash Hotel
555,Auki,SB,86.7,clear sky,-8.7676,160.7034,Auki Motel
559,Kavaratti,IN,81.99,overcast clouds,10.5669,72.642,Green leaf
563,Abnub,EG,78.57,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
