City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
238,Tuktoyaktuk,CA,2022-07-15 19:55:06,69.4541,-133.0374,39.2,81,75,8.05
239,Uberaba,BR,2022-07-15 19:55:06,-19.7483,-47.9319,82.98,28,0,8.05
240,Santa Rosa,PH,2022-07-15 19:55:07,14.3122,121.1114,80.11,86,100,2.51
241,Haileybury,CA,2022-07-15 19:55:08,47.449,-79.6373,75.78,38,100,8.41
242,Chapais,CA,2022-07-15 19:55:08,49.7834,-74.8492,74.98,31,100,10.16
243,Severobaykalsk,RU,2022-07-15 19:55:08,55.65,109.3167,51.35,92,98,0.51
244,Fort Nelson,CA,2022-07-15 19:55:09,58.8053,-122.7002,72.99,43,40,5.75
245,Oktyabrskoye,RU,2022-07-15 19:55:09,43.0645,44.7417,62.74,82,0,8.95
246,Maneadero,MX,2022-07-15 19:55:10,31.7167,-116.5667,73.09,76,21,4.0
247,Xinyu,CN,2022-07-15 19:55:10,27.8043,114.9334,80.24,75,100,3.85
248,Coihaique,CL,2022-07-15 19:54:29,-45.5752,-72.0662,33.75,69,75,3.44
249,Turangi,NZ,2022-07-15 19:55:11,-39.0,175.9333,34.34,95,15,3.09
250,Khandyga,RU,2022-07-15 19:50:35,62.6667,135.6,66.67,93,7,2.89
251,Wattegama,LK,2022-07-15 19:55:12,6.7989,81.4808,76.96,70,100,5.5
252,Leningradskiy,RU,2022-07-15 19:55:12,69.3833,178.4167,40.12,70,100,5.28
253,Loei,TH,2022-07-15 19:55:13,17.4167,101.5,66.45,96,100,2.28
254,Aksu,CN,2022-07-15 19:55:13,41.1231,80.2644,71.89,49,73,3.09
255,Disna,BY,2022-07-15 19:55:14,55.568,28.1971,52.66,96,8,9.95
256,Sioux Lookout,CA,2022-07-15 19:55:14,50.1001,-91.917,80.67,57,75,10.36
257,Nara,JP,2022-07-15 19:52:48,34.6851,135.8049,77.5,77,100,1.36
258,Vanimo,PG,2022-07-15 19:55:15,-2.6741,141.3028,76.06,90,97,5.12
259,Nizhniy Cherek,RU,2022-07-15 19:55:16,43.5131,43.9139,73.13,69,4,2.71
260,Great Falls,US,2022-07-15 19:50:51,47.5002,-111.3008,88.99,20,20,21.85
261,Mount Gambier,AU,2022-07-15 19:55:16,-37.8333,140.7667,47.53,72,100,14.67
262,Keflavik,IS,2022-07-15 19:55:17,64.0049,-22.5624,52.23,93,100,23.02
263,Bambous Virieux,MU,2022-07-15 19:55:17,-20.3428,57.7575,68.25,94,75,19.57
264,Cochrane,CA,2022-07-15 19:53:19,51.1834,-114.4687,83.75,25,0,8.05
265,Salamiyah,SY,2022-07-15 19:55:18,35.0113,37.0532,72.77,74,0,13.67
266,Chumikan,RU,2022-07-15 19:55:18,54.7183,135.315,52.72,99,100,4.18
267,Noumea,NC,2022-07-15 19:51:05,-22.2763,166.4572,68.0,99,43,11.21
268,Burnie,AU,2022-07-15 19:55:07,-41.0667,145.9167,47.95,89,100,7.25
269,Codrington,AU,2022-07-15 19:55:19,-38.2667,141.9667,50.2,59,100,16.37
270,Tilichiki,RU,2022-07-15 19:55:20,60.4667,166.1,55.17,78,13,6.8
271,Isangel,VU,2022-07-15 19:56:20,-19.55,169.2667,71.51,73,100,18.43
272,Kashi,CN,2022-07-15 19:56:21,39.4547,75.9797,72.61,46,2,2.24
273,Luderitz,NA,2022-07-15 19:56:21,-26.6481,15.1594,71.19,30,0,4.72
274,Yar-Sale,RU,2022-07-15 19:56:22,66.8333,70.8333,52.65,62,0,8.68
275,Longyearbyen,SJ,2022-07-15 19:56:22,78.2186,15.6401,57.04,62,75,14.97
276,Zyryanskoye,RU,2022-07-15 19:56:23,56.8306,86.6258,51.42,89,68,1.16
277,Lakes Entrance,AU,2022-07-15 19:56:23,-37.8811,147.981,42.17,68,100,7.36
278,Warmbad,NA,2022-07-15 19:56:24,-28.45,18.7333,62.15,22,25,11.03
