City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
233,Cap Malheureux,MU,2022-07-18 03:10:24,-19.9842,57.6142,69.48,69,42,10.0,scattered clouds
234,Houma,US,2022-07-18 03:10:01,29.5958,-90.7195,79.0,91,0,4.61,clear sky
235,Xining,CN,2022-07-18 03:10:24,36.6167,101.7667,54.32,94,100,0.31,overcast clouds
236,Ambulu,ID,2022-07-18 03:10:25,-8.345,113.6058,81.52,72,67,7.18,broken clouds
237,Kargil,IN,2022-07-18 03:10:26,34.5667,76.1,62.58,48,5,2.59,clear sky
238,Nizwa,OM,2022-07-18 03:10:27,22.9333,57.5333,83.08,63,98,3.24,overcast clouds
239,San Gabriel,US,2022-07-18 03:10:27,34.0961,-118.1058,86.65,61,0,11.5,clear sky
240,Tutoia,BR,2022-07-18 03:10:28,-2.7619,-42.2744,77.88,86,5,12.37,clear sky
241,Capao Da Canoa,BR,2022-07-18 03:10:28,-29.7456,-50.0097,51.15,81,0,3.4,clear sky
242,Yairipok,IN,2022-07-18 03:10:29,24.6667,94.0667,76.77,86,87,3.24,overcast clouds
243,Muisne,EC,2022-07-18 03:10:30,0.6,-80.0333,73.85,90,100,8.57,light rain
244,Viesca,MX,2022-07-18 03:10:30,25.35,-102.8,89.69,23,22,14.16,few clouds
245,Lewiston,US,2022-07-18 03:08:02,44.1003,-70.2148,71.46,82,0,0.0,clear sky
246,Taltal,CL,2022-07-18 03:10:31,-25.4,-70.4833,58.17,70,0,2.66,clear sky
247,Vrangel,RU,2022-07-18 03:10:31,42.7297,133.0839,66.11,80,98,11.92,overcast clouds
248,Deputatskiy,RU,2022-07-18 03:10:32,69.3,139.9,63.37,39,51,2.28,broken clouds
249,Thinadhoo,MV,2022-07-18 03:10:32,0.5333,72.9333,77.23,82,100,21.74,overcast clouds
250,Puerto Leguizamo,CO,2022-07-18 03:10:33,-0.1934,-74.7819,71.04,99,100,1.25,overcast clouds
251,Horizontina,BR,2022-07-18 03:10:33,-27.6258,-54.3078,43.65,92,0,3.89,clear sky
